,West-VBZ total
0,4.0
1,5.0
2,3.0
3,1.0
4,1.0
5,0.0
6,1.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.5
15,0.5
16,0.5
17,0.5
18,0.5
19,0.5
20,0.5
21,0.5
22,0.5
23,0.5
24,0.5
25,0.5
26,0.5
27,0.5
28,0.5
29,0.5
30,0.5
31,0.5
32,0.5
33,0.5
34,0.5
35,0.5
36,0.5
37,0.5
38,0.5
39,0.5
40,0.5
41,1.0
42,0.5
43,0.5
44,0.5
45,0.0
46,0.5
47,1.0
48,2.0
49,2.0
50,1.5
51,1.0
52,0.5
53,0.5
54,0.5
55,0.5
56,0.5
57,0.5
58,0.5
59,0.5
60,0.5
61,0.5
62,0.5
63,0.5
64,0.5
65,0.0
66,2.5
67,5.0
68,11.0
69,9.0
70,7.0
71,15.0
72,8.0
73,7.0
74,4.0
75,6.0
76,14.0
77,10.0
78,12.0
79,15.0
80,5.0
81,14.0
82,6.0
83,13.0
84,26.0
85,14.0
86,38.0
87,22.0
88,11.0
89,16.0
90,35.0
91,16.0
92,18.0
93,32.0
94,14.0
95,30.0
96,30.0
97,20.0
98,41.0
99,33.0
100,17.0
101,22.0
102,15.0
103,17.0
104,28.0
105,19.0
106,15.0
107,15.0
108,16.0
109,17.0
110,18.0
111,11.0
112,5.0
113,19.0
114,18.0
115,2.0
116,12.0
117,11.0
118,12.0
119,13.0
120,13.0
121,7.0
122,7.0
123,10.0
124,5.0
125,4.0
126,15.0
127,3.0
128,10.0
129,10.0
130,9.0
131,16.0
132,9.0
133,4.0
134,7.0
135,11.0
136,10.0
137,13.0
138,19.0
139,2.0
140,11.0
141,23.0
142,9.0
143,12.0
144,32.0
145,6.0
146,13.0
147,13.0
148,10.0
149,12.0
150,12.0
151,6.0
152,5.0
153,18.0
154,8.0
155,9.0
156,14.0
157,4.0
158,15.0
159,21.0
160,1.0
161,14.0
162,20.0
163,10.0
164,16.0
165,9.0
166,6.0
167,15.0
168,24.0
169,10.0
170,12.0
171,15.0
172,10.0
173,12.0
174,12.0
175,11.0
176,21.0
177,18.0
178,9.0
179,20.0
180,15.0
181,6.0
182,7.0
183,14.0
184,10.0
185,10.0
186,35.0
187,17.0
188,37.0
189,21.0
190,20.0
191,18.0
192,36.0
193,53.0
194,23.0
195,45.0
196,40.0
197,21.0
198,52.0
199,174.0
200,42.0
201,42.0
202,25.0
203,46.0
204,72.0
205,46.0
206,14.0
207,45.0
208,58.0
209,49.0
210,72.0
211,66.0
212,25.0
213,51.0
214,33.0
215,33.0
216,59.0
217,41.0
218,15.0
219,46.0
220,36.0
221,14.0
222,22.0
223,17.0
224,24.0
225,15.0
226,42.0
227,22.0
228,30.0
229,26.0
230,21.0
231,7.0
232,25.0
233,29.0
234,24.0
235,13.0
236,15.0
237,10.0
238,8.0
239,20.0
240,12.0
241,21.0
242,23.0
243,13.0
244,2.0
245,15.0
246,7.0
247,10.0
248,16.0
249,12.0
250,6.0
251,9.0
252,18.0
253,4.0
254,9.0
255,2.0
256,10.0
257,4.0
258,3.0
259,4.0
260,9.0
261,8.0
262,5.0
263,6.0
264,1.0
265,7.0
266,7.0
267,8.0
268,4.0
269,7.0
270,17.0
271,2.0
272,7.0
273,5.0
274,2.0
275,4.0
276,12.0
277,4.0
278,8.0
279,4.0
280,5.0
281,12.0
282,1.0
283,11.0
284,9.0
285,4.5
286,0.0
287,3.0
288,1.0
289,1.0
290,5.0
291,5.0
292,5.0
293,2.0
294,0.0
295,0.0
296,2.0
297,2.5
298,3.0
299,1.5
300,1.5
301,0.0
302,1.0
303,0.5
304,0.5
305,0.5
306,0.5
307,0.5
308,0.5
309,0.5
310,0.5
311,0.5
312,0.0
313,0.5
314,0.5
315,0.5
316,0.5
317,0.5
318,0.5
319,0.5
320,0.5
321,0.5
322,0.5
323,0.5
324,0.5
325,0.5
326,0.5
327,0.5
328,0.5
329,0.5
330,0.5
331,0.5
332,0.5
333,1.0
334,1.0
335,1.0
336,0.5
337,0.5
338,0.5
339,0.0
340,0.5
341,0.5
342,1.0
343,2.0
344,1.5
345,1.5
346,1.5
347,1.5
348,1.5
349,1.5
350,1.5
351,1.5
352,1.5
353,1.0
354,4.0
355,7.0
356,3.0
357,0.0
358,7.0
359,13.0
360,2.0
361,11.0
362,3.0
363,6.0
364,11.0
365,12.0
366,13.0
367,7.0
368,19.0
369,10.0
370,8.0
371,12.0
372,17.0
373,22.0
374,22.0
375,28.0
376,9.0
377,10.0
378,21.0
379,1.0
380,30.0
381,35.0
382,13.0
383,12.0
384,37.0
385,13.0
386,10.0
387,18.0
388,26.0
389,23.0
390,13.0
391,16.0
392,30.0
393,6.0
394,26.0
395,8.0
396,15.0
397,15.0
398,8.0
399,21.0
400,28.0
401,9.0
402,11.0
403,12.0
404,14.0
405,8.0
406,4.0
407,10.0
408,15.0
409,5.0
410,10.0
411,10.0
412,0.0
413,15.0
414,0.0
415,10.0
416,9.0
417,9.0
418,7.0
419,6.0
420,3.0
421,2.0
422,9.0
423,12.0
424,6.0
425,12.0
426,7.0
427,7.0
428,12.0
429,2.0
430,15.0
431,12.0
432,29.0
433,15.0
434,14.0
435,18.0
436,5.0
437,18.0
438,11.0
439,3.0
440,12.0
441,4.0
442,13.0
443,6.0
444,18.0
445,20.0
446,9.0
447,12.0
448,10.0
449,6.0
450,20.0
451,4.0
452,12.0
453,11.0
454,4.0
455,13.0
456,15.0
457,6.0
458,12.0
459,21.0
460,10.0
461,19.0
462,11.0
463,13.0
464,22.0
465,12.0
466,21.0
467,16.0
468,10.0
469,10.0
470,42.0
471,20.0
472,3.0
473,4.0
474,27.0
475,28.0
476,19.0
477,27.0
478,20.0
479,20.0
480,31.0
481,31.0
482,15.0
483,76.0
484,25.0
485,24.0
486,63.0
487,104.0
488,56.0
489,23.0
490,21.0
491,23.0
492,13.0
493,35.0
494,29.0
495,26.0
496,41.0
497,39.0
498,63.0
499,31.0
500,25.0
501,18.0
502,24.0
503,9.0
504,45.0
505,39.0
506,11.0
507,24.0
508,15.0
509,13.0
510,25.0
511,29.0
512,13.0
513,31.0
514,16.0
515,25.0
516,22.0
517,15.0
518,19.0
519,11.0
520,6.0
521,22.0
522,10.0
523,11.0
524,20.0
525,6.0
526,15.0
527,16.0
528,12.0
529,5.0
530,26.0
531,16.0
532,5.0
533,6.0
534,11.0
535,21.0
536,3.0
537,7.0
538,10.0
539,3.0
540,7.0
541,13.0
542,9.0
543,8.0
544,7.0
545,11.0
546,1.0
547,9.0
548,11.0
549,6.5
550,2.0
551,1.0
552,7.0
553,16.0
554,17.0
555,11.5
556,6.0
557,12.0
558,8.0
559,6.0
560,14.0
561,1.0
562,4.0
563,6.0
564,9.0
565,5.0
566,8.0
567,4.0
568,4.0
569,6.0
570,5.0
571,3.0
572,9.0
573,5.0
574,1.0
575,7.0
576,1.0
577,12.0
578,10.0
579,1.0
580,4.0
581,0.0
582,3.0
583,9.0
584,3.0
585,5.0
586,8.0
587,4.0
588,8.0
589,7.0
590,2.0
591,3.0
592,0.0
593,3.0
594,2.0
595,1.0
596,1.0
597,1.5
598,1.5
599,2.0
600,1.0
601,0.0
602,0.5
603,1.0
604,7.0
605,4.0
606,0.0
607,4.0
608,3.0
609,2.0
610,2.0
611,6.0
612,1.0
613,3.0
614,2.5
615,2.0
616,0.0
617,1.0
618,2.0
619,0.0
620,0.0
621,1.0
622,0.0
623,1.0
624,1.5
625,2.0
626,1.0
627,1.0
628,0.0
629,0.0
630,1.0
631,0.5
632,0.0
633,2.0
634,0.0
635,0.0
636,0.0
637,0.0
638,0.0
639,0.0
640,0.0
641,0.0
642,0.5
643,1.0
644,2.0
645,1.0
646,2.0
647,7.0
648,3.0
649,1.0
650,5.0
651,3.5
652,2.0
653,3.0
654,0.0
655,6.0
656,7.0
657,1.0
658,3.5
659,6.0
660,5.5
661,5.5
662,5.0
663,4.5
664,4.0
665,2.0
666,1.0
667,7.0
668,6.0
669,1.0
670,2.0
671,4.0
672,6.0
673,8.0
674,5.0
675,3.0
676,2.0
677,2.0
678,8.0
679,4.0
680,6.0
681,2.0
682,9.0
683,4.0
684,8.0
685,12.0
686,2.0
687,3.0
688,7.0
689,9.0
690,10.0
691,8.0
692,7.0
693,2.0
694,1.0
695,11.0
696,10.0
697,7.0
698,6.0
699,12.0
700,0.0
701,20.0
702,9.0
703,7.0
704,2.0
705,6.0
706,9.0
707,12.0
708,9.0
709,5.0
710,6.0
711,13.0
712,13.0
713,10.0
714,8.0
715,8.0
716,9.0
717,14.0
718,2.0
719,13.0
720,6.0
721,6.0
722,15.0
723,10.0
724,2.0
725,11.0
726,9.0
727,13.0
728,12.0
729,8.0
730,10.0
731,10.0
732,19.0
733,12.0
734,7.0
735,13.0
736,4.0
737,9.0
738,17.0
739,3.0
740,15.0
741,13.0
742,8.0
743,11.0
744,20.0
745,8.0
746,6.0
747,18.0
748,13.0
749,14.0
750,6.0
751,10.0
752,28.0
753,31.0
754,10.0
755,8.0
756,18.0
757,10.0
758,3.0
759,9.0
760,8.0
761,7.0
762,9.0
763,15.0
764,12.0
765,8.0
766,7.0
767,6.0
768,11.0
769,14.0
770,15.0
771,7.0
772,16.0
773,13.0
774,11.0
775,18.0
776,6.0
777,10.0
778,9.0
779,12.0
780,10.0
781,3.0
782,14.0
783,7.0
784,14.0
785,17.0
786,3.0
787,4.0
788,14.0
789,7.0
790,21.0
791,10.0
792,11.0
793,3.0
794,10.0
795,10.0
796,7.0
797,14.0
798,10.0
799,14.0
800,7.0
801,10.0
802,6.0
803,14.0
804,7.0
805,25.0
806,20.0
807,2.0
808,4.0
809,14.0
