Didok number;Stop name;Date ;Public holiday;Weekday;Nationaler Feiertag;Service Typ;Service;Closed;From 1;until1;From 1;until3;From 1;until3;Company;Schlüssel;OPUIC
10;Basel SBB;2024-08-01;Bundesfeiertag;Thursday;ja;900;Fundservice;;09:00;18:00;;;;;SBB;10-2024-08-01T00:00:00-900;8500010
10;Basel SBB;2024-08-01;Bundesfeiertag;Thursday;ja;2116;InfoPoint;;08:00;21:30;;;;;SBB;10-2024-08-01T00:00:00-2116;8500010
10;Basel SBB;2024-05-20;Pfingstmontag;Monday;ja;2116;InfoPoint;;08:00;21:30;;;;;SBB;10-2024-05-20T00:00:00-2116;8500010
10;Basel SBB;2024-05-19;Pfingsten;Sunday;ja;900;Fundservice;;09:00;18:00;;;;;SBB;10-2024-05-19T00:00:00-900;8500010
10;Basel SBB;2024-05-09;Auffahrt;Thursday;ja;900;Fundservice;;09:00;18:00;;;;;SBB;10-2024-05-09T00:00:00-900;8500010
10;Basel SBB;2024-05-01;Tag der Arbeit;Wednesday;ja;900;Fundservice;;09:00;18:00;;;;;SBB;10-2024-05-01T00:00:00-900;8500010
10;Basel SBB;2024-04-01;Ostermontag;Monday;ja;1100;Western Union;;09:30;18:00;;;;;SBB;10-2024-04-01T00:00:00-1100;8500010
10;Basel SBB;2024-03-31;Ostern;Sunday;ja;1000;Geldwechsel;;09:30;18:00;;;;;SBB;10-2024-03-31T00:00:00-1000;8500010
10;Basel SBB;2024-03-31;Ostern;Sunday;ja;2116;InfoPoint;;08:00;21:30;;;;;SBB;10-2024-03-31T00:00:00-2116;8500010
23;Liestal;2024-05-01;Tag der Arbeit;Wednesday;ja;9999;Alle Services;ja;;;;;;;SBB;23-2024-05-01T00:00:00-9999;8500023
23;Liestal;2024-03-29;Karfreitag;Friday;ja;9999;Alle Services;ja;;;;;;;SBB;23-2024-03-29T00:00:00-9999;8500023
105;Moutier;2024-08-01;Bundesfeiertag;Thursday;ja;9999;Alle Services;ja;;;;;;;CFF;105-2024-08-01T00:00:00-9999;8500105
109;Delémont;2024-08-15;Maria Himmelfahrt;Thursday;ja;9999;Alle Services;;08:00;12:00;13:30;17:00;;;CFF;109-2024-08-15T00:00:00-9999;8500109
109;Delémont;2024-05-30;Fronleichnam;Thursday;ja;9999;Alle Services;;08:00;12:00;13:30;17:00;;;CFF;109-2024-05-30T00:00:00-9999;8500109
109;Delémont;2024-05-20;Pfingstmontag;Monday;ja;9999;Alle Services;;08:00;12:00;13:30;17:00;;;CFF;109-2024-05-20T00:00:00-9999;8500109
109;Delémont;2024-05-09;Auffahrt;Thursday;ja;9999;Alle Services;;08:00;12:00;13:30;17:00;;;CFF;109-2024-05-09T00:00:00-9999;8500109
109;Delémont;2024-05-01;Tag der Arbeit;Wednesday;ja;9999;Alle Services;;08:00;12:00;13:30;17:00;;;CFF;109-2024-05-01T00:00:00-9999;8500109
109;Delémont;2024-03-29;Karfreitag;Friday;ja;9999;Alle Services;;08:00;12:00;13:30;17:00;;;CFF;109-2024-03-29T00:00:00-9999;8500109
113;Laufen;2024-07-31;Tag vor Bundesfeier;Wednesday;ja;9999;Alle Services;;08:00;17:00;;;;;SBB;113-2024-07-31T00:00:00-9999;8500113
113;Laufen;2024-03-30;Ostersamstag;Saturday;ja;9999;Alle Services;ja;;;;;;;SBB;113-2024-03-30T00:00:00-9999;8500113
118;Dornach-Arlesheim;2024-05-20;Pfingstmontag;Monday;ja;9999;Alle Services;ja;;;;;;;SBB;118-2024-05-20T00:00:00-9999;8500118
118;Dornach-Arlesheim;2024-05-01;Tag der Arbeit;Wednesday;ja;9999;Alle Services;ja;;;;;;;SBB;118-2024-05-01T00:00:00-9999;8500118
126;Porrentruy;2024-08-01;Bundesfeiertag;Thursday;ja;9999;Alle Services;ja;;;;;;;CFF;126-2024-08-01T00:00:00-9999;8500126
126;Porrentruy;2024-04-01;Ostermontag;Monday;ja;9999;Alle Services;ja;;;;;;;CFF;126-2024-04-01T00:00:00-9999;8500126
202;Grenchen Süd;2024-05-30;Fronleichnam;Thursday;ja;9999;Alle Services;ja;;;;;;;SBB;202-2024-05-30T00:00:00-9999;8500202
202;Grenchen Süd;2024-05-01;Tag der Arbeit;Wednesday;ja;9999;Alle Services;ja;;;;;;;SBB;202-2024-05-01T00:00:00-9999;8500202
202;Grenchen Süd;2024-03-31;Ostern;Sunday;ja;9999;Alle Services;ja;;;;;;;SBB;202-2024-03-31T00:00:00-9999;8500202
202;Grenchen Süd;2024-03-29;Karfreitag;Friday;ja;9999;Alle Services;ja;;;;;;;SBB;202-2024-03-29T00:00:00-9999;8500202
207;Solothurn;2024-08-01;Bundesfeiertag;Thursday;ja;1400;Velovermietung;;10:00;17:00;;;;;SBB;207-2024-08-01T00:00:00-1400;8500207
207;Solothurn;2024-08-01;Bundesfeiertag;Thursday;ja;9999;Alle Services;;09:00;17:00;;;;;SBB;207-2024-08-01T00:00:00-9999;8500207
212;Oensingen;2024-05-09;Auffahrt;Thursday;ja;9999;Alle Services;ja;;;;;;;SBB;212-2024-05-09T00:00:00-9999;8500212
218;Olten;2024-08-01;Bundesfeiertag;Thursday;ja;9999;Alle Services;;09:00;18:30;;;;;SBB;218-2024-08-01T00:00:00-9999;8500218
294;Balsthal;2024-08-01;Bundesfeiertag;Thursday;ja;9999;Alle Services;ja;;;;;;;OeBB;294-2024-08-01T00:00:00-9999;8500294
294;Balsthal;2024-05-09;Auffahrt;Thursday;ja;9999;Alle Services;ja;;;;;;;OeBB;294-2024-05-09T00:00:00-9999;8500294
301;Rheinfelden;2024-05-20;Pfingstmontag;Monday;ja;9999;Alle Services;ja;;;;;;;SBB;301-2024-05-20T00:00:00-9999;8500301
301;Rheinfelden;2024-04-01;Ostermontag;Monday;ja;9999;Alle Services;ja;;;;;;;SBB;301-2024-04-01T00:00:00-9999;8500301
305;Frick;2024-05-30;Fronleichnam;Thursday;ja;9999;Alle Services;ja;;;;;;;SBB;305-2024-05-30T00:00:00-9999;8500305
305;Frick;2024-04-01;Ostermontag;Monday;ja;9999;Alle Services;ja;;;;;;;SBB;305-2024-04-01T00:00:00-9999;8500305
1008;Genève;2024-05-09;Auffahrt;Thursday;ja;100;Billette, Abonnemente, Freizeitangebote;;07:00;20:00;;;;;CFF;1008-2024-05-09T00:00:00-100;8501008
1008;Genève;2024-03-31;Ostern;Sunday;ja;100;Billette, Abonnemente, Freizeitangebote;;07:00;20:00;;;;;CFF;1008-2024-03-31T00:00:00-100;8501008
1008;Genève;2024-03-29;Karfreitag;Friday;ja;1000;Geldwechsel;;07:00;20:00;;;;;CFF;1008-2024-03-29T00:00:00-1000;8501008
1008;Genève;2024-03-29;Karfreitag;Friday;ja;1100;Western Union;;07:00;20:00;;;;;CFF;1008-2024-03-29T00:00:00-1100;8501008
1026;Genève-Aéroport;2024-03-29;Karfreitag;Friday;ja;9999;Alle Services;;07:30;20:15;;;;;CFF;1026-2024-03-29T00:00:00-9999;8501026
1030;Nyon;2024-08-01;Bundesfeiertag;Thursday;ja;9999;Alle Services;;08:00;12:00;13:30;17:00;;;CFF;1030-2024-08-01T00:00:00-9999;8501030
1030;Nyon;2024-05-20;Pfingstmontag;Monday;ja;9999;Alle Services;;08:00;12:00;13:30;17:00;;;CFF;1030-2024-05-20T00:00:00-9999;8501030
1030;Nyon;2024-04-01;Ostermontag;Monday;ja;9999;Alle Services;;08:00;12:00;13:30;17:00;;;CFF;1030-2024-04-01T00:00:00-9999;8501030
1030;Nyon;2024-03-29;Karfreitag;Friday;ja;9999;Alle Services;;08:00;12:00;13:30;17:00;;;CFF;1030-2024-03-29T00:00:00-9999;8501030
1037;Morges;2024-05-20;Pfingstmontag;Monday;ja;9999;Alle Services;;08:00;11:50;13:10;17:00;;;CFF;1037-2024-05-20T00:00:00-9999;8501037
1037;Morges;2024-05-09;Auffahrt;Thursday;ja;9999;Alle Services;;08:00;11:50;13:10;17:00;;;CFF;1037-2024-05-09T00:00:00-9999;8501037
1052;Genève Balexert;2024-03-31;Ostern;Sunday;ja;9999;Alle Services;ja;;;;;;;CFF;1052-2024-03-31T00:00:00-9999;8501052
1118;Renens VD;2024-04-01;Ostermontag;Monday;ja;9999;Alle Services;ja;;;;;;;CFF;1118-2024-04-01T00:00:00-9999;8501118
1118;Renens VD;2024-03-29;Karfreitag;Friday;ja;9999;Alle Services;ja;;;;;;;CFF;1118-2024-03-29T00:00:00-9999;8501118
1120;Lausanne;2024-05-09;Auffahrt;Thursday;ja;900;Fundservice;;09:00;18:30;;;;;CFF;1120-2024-05-09T00:00:00-900;8501120
1120;Lausanne;2024-03-29;Karfreitag;Friday;ja;900;Fundservice;;09:00;18:30;;;;;CFF;1120-2024-03-29T00:00:00-900;8501120
1120;Lausanne;2024-03-29;Karfreitag;Friday;ja;1000;Geldwechsel;;10:00;18:00;;;;;CFF;1120-2024-03-29T00:00:00-1000;8501120
1200;Vevey;2024-04-01;Ostermontag;Monday;ja;9999;Alle Services;;08:00;12:00;13:30;16:30;;;CFF;1200-2024-04-01T00:00:00-9999;8501200
1300;Montreux;2024-08-01;Bundesfeiertag;Thursday;ja;9999;Alle Services;;08:30;12:00;13:30;17:30;;;CFF;1300-2024-08-01T00:00:00-9999;8501300
1300;Montreux;2024-03-29;Karfreitag;Friday;ja;9999;Alle Services;;08:30;12:00;13:30;17:30;;;CFF;1300-2024-03-29T00:00:00-9999;8501300
1500;Martigny;2024-08-15;Maria Himmelfahrt;Thursday;ja;9999;Alle Services;;08:30;12:00;13:30;17:30;;;CFF;1500-2024-08-15T00:00:00-9999;8501500
1500;Martigny;2024-05-30;Fronleichnam;Thursday;ja;9999;Alle Services;;08:30;12:00;13:30;17:30;;;CFF;1500-2024-05-30T00:00:00-9999;8501500
1500;Martigny;2024-04-01;Ostermontag;Monday;ja;9999;Alle Services;;08:30;12:00;13:30;17:30;;;CFF;1500-2024-04-01T00:00:00-9999;8501500
1506;Sion;2024-05-30;Fronleichnam;Thursday;ja;9999;Alle Services;;08:30;12:00;13:30;17:30;;;CFF;1506-2024-05-30T00:00:00-9999;8501506
1506;Sion;2024-03-19;St. Josef;Tuesday;ja;9999;Alle Services;;08:30;12:00;13:30;17:30;;;CFF;1506-2024-03-19T00:00:00-9999;8501506
1509;Sierre/Siders;2024-08-15;Maria Himmelfahrt;Thursday;ja;9999;Alle Services;ja;;;;;;;CFF;1509-2024-08-15T00:00:00-9999;8501509
1509;Sierre/Siders;2024-05-31;Fronleichnamsbrücke;Friday;;9999;Alle Services;;08:00;12:00;13:00;17:00;;;CFF;1509-2024-05-31T00:00:00-9999;8501509
1509;Sierre/Siders;2024-05-30;Fronleichnam;Thursday;ja;9999;Alle Services;ja;;;;;;;CFF;1509-2024-05-30T00:00:00-9999;8501509
1509;Sierre/Siders;2024-03-29;Karfreitag;Friday;ja;9999;Alle Services;;08:00;12:00;13:30;17:00;;;CFF;1509-2024-03-29T00:00:00-9999;8501509
1605;Visp;2024-03-19;St. Josef;Tuesday;ja;9999;Alle Services;ja;;;;;;;SBB;1605-2024-03-19T00:00:00-9999;8501605
1609;Brig;2024-05-30;Fronleichnam;Thursday;ja;9999;Alle Services;;08:00;12:00;13:30;17:30;;;SBB;1609-2024-05-30T00:00:00-9999;8501609
1609;Brig;2024-05-20;Pfingstmontag;Monday;ja;9999;Alle Services;;08:00;12:00;13:30;17:30;;;SBB;1609-2024-05-20T00:00:00-9999;8501609
1609;Brig;2024-04-01;Ostermontag;Monday;ja;9999;Alle Services;;08:00;12:00;13:30;17:30;;;SBB;1609-2024-04-01T00:00:00-9999;8501609
1609;Brig;2024-03-19;St. Josef;Tuesday;ja;9999;Alle Services;;08:00;12:00;13:30;17:30;;;SBB;1609-2024-03-19T00:00:00-9999;8501609
1665;Münster VS;2024-04-01;Ostermontag;Monday;ja;9999;Alle Services;ja;;;;;;;MGB;1665-2024-04-01T00:00:00-9999;8501665
1666;Reckingen;2024-05-30;Fronleichnam;Thursday;ja;500;Gepäck;ja;;;;;;;MGB;1666-2024-05-30T00:00:00-500;8501666
2001;Zofingen;2024-05-18;Pfingstsamstag;Saturday;ja;9999;Alle Services;;08:00;16:00;;;;;SBB;2001-2024-05-18T00:00:00-9999;8502001
2021;Emmenbrücke;2024-10-31;Tag vor Allerheiligen;Thursday;;9999;Alle Services;;08:00;17:00;;;;;SBB;2021-2024-10-31T00:00:00-9999;8502021
2021;Emmenbrücke;2024-05-29;Tag vor Fronleichnam;Wednesday;;9999;Alle Services;;08:00;17:00;;;;;SBB;2021-2024-05-29T00:00:00-9999;8502021
2021;Emmenbrücke;2024-05-20;Pfingstmontag;Monday;ja;9999;Alle Services;ja;;;;;;;SBB;2021-2024-05-20T00:00:00-9999;8502021
2021;Emmenbrücke;2024-05-19;Pfingsten;Sunday;ja;9999;Alle Services;ja;;;;;;;SBB;2021-2024-05-19T00:00:00-9999;8502021
2021;Emmenbrücke;2024-03-28;Gründonnerstag;Thursday;ja;9999;Alle Services;;08:00;17:00;;;;;SBB;2021-2024-03-28T00:00:00-9999;8502021
2024;Hochdorf;2024-05-19;Pfingsten;Sunday;ja;9999;Alle Services;ja;;;;;;;SBB;2024-2024-05-19T00:00:00-9999;8502024
2113;Aarau;2024-03-31;Ostern;Sunday;ja;9999;Alle Services;;09:00;18:00;;;;;SBB;2113-2024-03-31T00:00:00-9999;8502113
