,Ost-VBZ Total
0,1.0
1,3.5
2,6.0
3,2.0
4,1.5
5,1.5
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,1.0
21,1.0
22,1.0
23,1.0
24,1.0
25,1.0
26,1.0
27,1.0
28,1.0
29,1.0
30,1.0
31,1.0
32,1.0
33,1.0
34,1.0
35,1.0
36,1.0
37,1.0
38,1.0
39,1.0
40,1.0
41,1.0
42,1.0
43,1.0
44,1.0
45,1.0
46,1.0
47,1.0
48,1.0
49,1.0
50,3.0
51,0.0
52,5.0
53,5.0
54,5.0
55,5.0
56,5.0
57,5.0
58,5.0
59,5.0
60,10.0
61,1.0
62,3.0
63,1.0
64,3.0
65,4.0
66,15.0
67,9.5
68,4.0
69,17.0
70,8.0
71,36.0
72,20.0
73,37.0
74,32.0
75,23.0
76,28.0
77,43.0
78,38.0
79,32.0
80,58.0
81,52.0
82,56.0
83,26.0
84,36.0
85,75.0
86,38.0
87,29.0
88,105.0
89,49.0
90,41.0
91,103.0
92,73.0
93,34.0
94,120.0
95,34.0
96,126.0
97,64.0
98,95.0
99,61.0
100,47.0
101,94.0
102,64.0
103,40.0
104,55.0
105,56.0
106,69.0
107,41.0
108,24.0
109,47.0
110,53.0
111,42.0
112,15.0
113,15.0
114,24.0
115,20.0
116,20.0
117,43.0
118,11.0
119,29.0
120,32.0
121,17.0
122,20.0
123,13.0
124,23.0
125,15.0
126,33.0
127,9.0
128,11.0
129,19.0
130,20.0
131,17.0
132,16.0
133,7.0
134,25.0
135,12.0
136,18.0
137,4.0
138,17.0
139,25.0
140,33.0
141,20.0
142,22.0
143,28.0
144,37.0
145,21.0
146,56.0
147,21.0
148,34.0
149,23.0
150,29.0
151,27.0
152,14.0
153,46.0
154,32.0
155,24.0
156,25.0
157,12.0
158,29.0
159,16.0
160,30.0
161,20.0
162,11.0
163,30.0
164,32.0
165,17.0
166,29.0
167,26.0
168,23.0
169,35.0
170,44.0
171,28.0
172,10.0
173,17.0
174,33.0
175,16.0
176,15.0
177,37.0
178,11.0
179,23.0
180,16.0
181,56.0
182,1.0
183,52.0
184,39.0
185,8.0
186,77.0
187,49.0
188,52.0
189,51.0
190,21.0
191,58.0
192,7.0
193,106.0
194,78.0
195,46.0
196,92.0
197,72.0
198,43.0
199,78.0
200,70.0
201,15.0
202,105.0
203,70.0
204,43.0
205,82.0
206,97.0
207,57.0
208,93.0
209,93.0
210,49.0
211,66.0
212,69.0
213,66.0
214,81.0
215,59.0
216,57.0
217,90.0
218,68.0
219,46.0
220,58.0
221,50.0
222,51.0
223,53.0
224,52.0
225,31.0
226,33.0
227,64.0
228,30.0
229,25.0
230,43.0
231,21.0
232,35.0
233,29.0
234,17.0
235,38.0
236,7.0
237,37.0
238,24.0
239,23.0
240,6.0
241,18.0
242,27.0
243,24.0
